# CaFe Be9 SRC Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_min_real,syst_dPm_min_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dXbj_real,syst_dXbj_real_err,syst_dthrq_real,syst_dthrq_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
77,5099.303,72.313,5287.434,73.691,5100.079,72.394,4821.697,70.411,4773.579,69.984,5277.447,73.632,5189.776,73.031,5062.408,72.130
78,6583.000,82.757,4531.026,68.312,5172.145,72.935,4992.737,71.642,6159.658,79.946,5671.158,76.288,5124.434,72.577,5064.408,72.144
79,4748.961,69.842,4667.039,69.310,4988.053,71.597,5011.737,71.775,4843.618,70.510,5552.816,75.502,5059.408,72.109,5064.408,72.144
80,3700.684,61.661,4873.053,70.790,4753.987,69.897,4938.724,71.255,4723.540,69.597,4406.947,67.339,5143.105,72.708,5062.408,72.130
81,5245.895,73.495,5287.434,73.691,5313.895,73.956,4962.066,71.425,5053.737,72.067,4624.000,68.970,5355.487,74.187,5064.408,72.144
82,4341.132,66.738,5377.776,74.307,4955.382,71.366,5251.171,73.492,4686.868,69.330,4365.276,67.026,5021.724,71.835,5064.408,72.144
83,3986.395,63.970,5249.434,73.433,5221.513,73.296,5150.118,72.765,4653.513,69.073,4074.553,64.777,4896.000,70.915,5064.408,72.144
84,5882.303,77.752,4667.039,69.310,4970.382,71.471,5259.184,73.556,4991.724,71.626,5951.526,78.126,5409.171,74.559,5064.408,72.144
85,4242.210,65.800,5002.066,71.704,5048.408,72.033,5189.461,73.041,4146.592,65.106,5663.158,76.235,4734.289,69.734,5064.408,72.144
86,7112.368,85.723,5526.447,75.304,5243.184,73.447,5208.145,73.181,5743.289,77.060,5478.145,75.003,4890.000,70.872,5064.408,72.144
87,4035.092,64.373,4903.053,71.001,5141.434,72.694,4623.289,68.933,5064.408,72.144,5032.724,71.912,4495.211,67.940,5064.408,72.144
88,6061.776,78.986,5170.421,72.884,5398.632,74.574,5191.132,73.056,5002.395,71.704,5292.447,73.734,5272.803,73.616,5064.408,72.144
89,4535.947,68.047,5196.763,73.070,4810.000,70.306,5164.118,72.862,4090.579,64.665,5725.500,76.649,5064.408,72.144,5064.408,72.144
90,4732.789,69.842,4272.013,66.379,4889.039,70.893,4724.329,69.691,5312.632,73.995,6050.526,78.757,4896.000,70.915,5064.408,72.144
91,3981.342,63.890,4903.053,71.001,4777.658,70.069,5162.118,72.848,4537.434,68.170,4662.671,69.253,5184.105,72.990,5064.408,72.144
92,4071.513,64.723,4439.684,67.634,5091.079,72.331,5052.408,72.061,5043.395,71.989,5203.092,73.111,4520.553,68.133,5064.408,72.144
