# CaFe Be9 SRC Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# real_yield -> randoms-subtracted, integrated missing-momentum counts
# rand_yield -> randoms (accidentals selected) yield integrated missing-momentum counts
# total_yield -> total (reals+randoms) integrated missing-momentum counts
entry,real_yield,real_yield_err,rand_yield,rand_yield_err,total_yield,total_yield_err
53,4228.763,65.611,57.237,4.339,4286.000,65.468
54,4786.368,69.925,77.632,5.053,4864.000,69.742
55,7687.658,88.991,174.342,7.573,7862.000,88.668
56,7285.145,86.596,160.855,7.274,7446.000,86.290
57,5527.132,75.099,84.868,5.284,5612.000,74.913
58,5325.303,73.859,97.697,5.669,5423.000,73.641
59,5717.408,76.969,155.592,7.154,5873.000,76.636
60,4969.145,71.529,110.855,6.039,5080.000,71.274
61,5853.737,77.419,105.263,5.884,5959.000,77.195
62,5733.934,76.552,95.066,5.592,5829.000,76.348
63,5185.711,72.959,103.289,5.829,5289.000,72.726
64,6370.526,80.968,139.474,6.773,6510.000,80.685
65,5465.500,74.711,87.500,5.365,5553.000,74.518
66,6142.658,79.422,124.342,6.395,6267.000,79.164
67,4507.487,67.989,86.513,5.335,4594.000,67.779
68,4583.645,68.661,98.355,5.688,4682.000,68.425
69,6244.329,80.063,124.671,6.404,6369.000,79.806
70,3903.934,63.222,70.066,4.801,3974.000,63.040
71,6872.750,83.749,106.250,5.912,6979.000,83.540
72,6992.013,84.417,100.987,5.764,7093.000,84.220
73,4600.895,68.484,67.105,4.698,4668.000,68.323
74,6708.039,82.734,102.961,5.820,6811.000,82.529
75,6896.447,84.304,158.553,7.222,7055.000,83.994
76,4320.355,66.500,76.645,5.021,4397.000,66.310
77,4611.395,68.439,54.605,4.238,4666.000,68.308
78,5420.974,74.507,98.026,5.679,5519.000,74.290
79,6328.250,80.948,168.750,7.450,6497.000,80.604
80,4067.553,64.466,66.447,4.675,4134.000,64.296
81,4837.816,70.373,86.184,5.324,4924.000,70.171
82,6181.474,79.760,135.526,6.677,6317.000,79.480
83,4457.474,67.610,85.526,5.304,4543.000,67.402
84,6034.579,78.900,143.421,6.869,6178.000,78.600
85,5457.947,74.514,71.053,4.835,5529.000,74.357
86,4140.908,65.049,68.092,4.733,4209.000,64.877
87,5707.895,76.356,92.105,5.504,5800.000,76.158
88,3490.382,59.679,53.618,4.200,3544.000,59.532
89,6420.974,80.940,98.026,5.679,6519.000,80.740
90,6913.947,84.309,146.053,6.931,7060.000,84.024
91,6246.658,79.867,99.342,5.716,6346.000,79.662
92,8104.671,90.946,125.329,6.421,8230.000,90.719
93,5802.066,77.081,104.934,5.875,5907.000,76.857
94,5213.934,73.077,95.066,5.592,5309.000,72.863
95,4992.566,71.985,142.434,6.845,5135.000,71.659
96,5790.987,77.174,124.013,6.387,5915.000,76.909
97,6253.395,79.953,104.605,5.866,6358.000,79.737
98,4801.553,70.165,91.447,5.485,4893.000,69.950
99,4564.092,68.359,81.908,5.191,4646.000,68.162
100,5350.803,74.143,110.197,6.021,5461.000,73.899
101,4361.092,66.609,56.908,4.327,4418.000,66.468
102,5243.671,73.101,75.329,4.978,5319.000,72.931
103,4541.526,68.024,64.474,4.605,4606.000,67.868
104,4334.776,66.424,58.224,4.376,4393.000,66.280
105,4305.632,66.346,72.368,4.879,4378.000,66.166
106,6373.671,81.077,150.329,7.032,6524.000,80.771
107,4312.105,66.500,82.895,5.222,4395.000,66.295
108,6009.592,78.538,119.408,6.267,6129.000,78.288
109,3191.395,57.131,54.605,4.238,3246.000,56.974
110,5819.987,77.361,124.013,6.387,5944.000,77.097
111,5101.329,72.115,74.671,4.956,5176.000,71.944
112,7572.974,88.334,173.026,7.544,7746.000,88.011
113,5683.579,76.426,118.421,6.241,5802.000,76.171
114,5525.605,75.182,95.395,5.602,5621.000,74.973
115,4498.566,67.736,67.434,4.710,4566.000,67.572
116,6146.829,79.764,162.171,7.304,6309.000,79.429
117,5013.724,71.548,79.276,5.107,5093.000,71.365
118,5023.237,71.507,67.763,4.721,5091.000,71.351
119,5462.539,74.940,115.461,6.163,5578.000,74.686
120,6466.434,81.298,107.566,5.948,6574.000,81.080
121,8117.395,91.412,179.605,7.686,8297.000,91.088
122,5409.158,74.327,86.842,5.345,5496.000,74.135
123,7503.342,87.959,175.658,7.601,7679.000,87.630
124,4267.868,65.988,65.132,4.629,4333.000,65.826
125,3413.447,59.087,58.553,4.389,3472.000,58.924
126,6922.684,84.599,176.316,7.616,7099.000,84.256
127,4984.763,71.605,107.237,5.939,5092.000,71.358
128,5165.263,72.740,94.737,5.582,5260.000,72.526
129,4770.684,70.038,101.316,5.773,4872.000,69.800
130,6247.987,80.287,149.013,7.001,6397.000,79.981
131,4773.276,69.766,70.724,4.823,4844.000,69.599
132,6379.290,81.082,146.711,6.947,6526.000,80.784
133,5332.882,74.076,116.118,6.180,5449.000,73.817
134,7211.540,85.819,115.461,6.163,7327.000,85.598
135,6353.697,80.764,127.303,6.471,6481.000,80.505
136,4665.934,68.986,70.066,4.801,4736.000,68.819
137,4173.724,65.160,54.276,4.225,4228.000,65.023
138,5145.592,72.602,94.408,5.573,5240.000,72.388
139,4731.289,69.712,96.711,5.640,4828.000,69.484
140,5500.908,74.997,93.092,5.534,5594.000,74.793
141,5893.158,77.729,111.842,6.065,6005.000,77.492
142,4164.750,65.366,81.250,5.170,4246.000,65.161
143,6336.579,80.791,143.421,6.869,6480.000,80.498
144,8022.684,90.868,176.316,7.616,8199.000,90.548
145,4644.289,68.845,71.711,4.857,4716.000,68.673
146,5673.553,76.125,91.447,5.485,5765.000,75.928
147,7887.053,90.322,203.947,8.191,8091.000,89.950
148,7573.355,87.987,126.645,6.454,7700.000,87.750
149,4120.803,64.814,60.197,4.450,4181.000,64.661
150,6662.724,82.671,129.276,6.521,6792.000,82.414
151,5449.066,74.534,79.934,5.128,5529.000,74.357
152,5078.237,72.122,92.763,5.524,5171.000,71.910
153,5171.605,72.790,95.395,5.602,5267.000,72.574
154,7248.487,86.004,111.513,6.057,7360.000,85.790
155,5590.974,75.858,123.026,6.362,5714.000,75.591
156,6348.908,80.659,118.092,6.233,6467.000,80.418
157,6213.013,80.085,150.987,7.047,6364.000,79.775
158,3206.329,57.204,49.671,4.042,3256.000,57.061
159,5920.579,77.961,118.421,6.241,6039.000,77.711
160,5689.487,76.187,86.513,5.335,5776.000,76.000
161,5014.092,71.575,81.908,5.191,5096.000,71.386
162,5853.724,77.410,104.276,5.857,5958.000,77.188
163,5854.855,77.502,114.145,6.128,5969.000,77.259
164,6208.868,79.553,90.132,5.445,6299.000,79.366
165,4445.697,67.442,77.303,5.043,4523.000,67.253
166,4597.250,68.473,68.750,4.756,4666.000,68.308
167,6458.908,81.542,143.092,6.861,6602.000,81.253
168,5882.697,77.580,102.303,5.801,5985.000,77.363
169,5613.605,75.765,95.395,5.602,5709.000,75.558
170,4786.934,70.095,95.066,5.592,4882.000,69.871
171,5633.368,75.740,77.632,5.053,5711.000,75.571
172,6917.790,84.041,109.211,5.994,7027.000,83.827
173,4728.618,69.690,96.382,5.631,4825.000,69.462
174,5976.711,78.404,128.289,6.496,6105.000,78.134
175,6667.079,82.911,155.921,7.162,6823.000,82.601
176,3433.290,59.402,71.711,4.857,3505.000,59.203
177,4864.855,70.593,89.145,5.415,4954.000,70.385
178,4768.895,70.175,117.105,6.207,4886.000,69.900
179,3891.263,62.855,44.737,3.836,3936.000,62.738
180,4776.066,69.873,79.934,5.128,4856.000,69.685
181,4003.658,64.050,74.342,4.945,4078.000,63.859
182,4842.369,70.325,77.632,5.053,4920.000,70.143
183,6045.961,78.581,97.039,5.650,6143.000,78.377
184,5108.645,72.154,73.355,4.912,5182.000,71.986
185,8388.855,92.774,164.145,7.348,8553.000,92.482
186,4745.039,69.632,77.961,5.064,4823.000,69.448
187,3822.711,62.398,53.289,4.187,3876.000,62.258
188,4240.868,65.783,65.132,4.629,4306.000,65.620
189,4610.539,68.539,65.461,4.640,4676.000,68.381
190,4314.605,66.394,70.395,4.812,4385.000,66.219
191,4324.974,66.498,73.026,4.901,4398.000,66.317
192,5996.224,78.431,116.776,6.198,6113.000,78.186
193,5630.224,76.280,141.776,6.829,5772.000,75.974
194,6106.158,79.087,111.842,6.065,6218.000,78.854
195,4226.618,65.738,71.382,4.846,4298.000,65.559
196,5478.237,74.843,92.763,5.524,5571.000,74.639
197,5850.408,77.400,105.592,5.894,5956.000,77.175
198,6414.118,81.396,158.882,7.229,6573.000,81.074
199,5957.724,78.079,104.276,5.857,6062.000,77.859
200,6271.895,80.379,142.105,6.837,6414.000,80.087
201,4935.592,71.141,94.408,5.573,5030.000,70.922
202,5011.697,71.515,77.303,5.043,5089.000,71.337
203,5446.184,74.594,88.816,5.405,5535.000,74.398
204,4014.750,63.949,56.250,4.302,4071.000,63.804
205,6345.276,80.658,120.724,6.302,6466.000,80.411
206,4826.237,70.116,67.763,4.721,4894.000,69.957
207,5821.829,77.486,137.171,6.717,5959.000,77.195
208,4407.447,67.220,83.553,5.243,4491.000,67.015
209,5551.868,75.531,115.132,6.154,5667.000,75.279
210,6827.816,83.520,111.184,6.048,6939.000,83.301
211,5464.000,74.590,75.000,4.967,5539.000,74.424
212,5563.632,75.452,97.368,5.659,5661.000,75.240
213,4350.434,66.784,82.566,5.212,4433.000,66.581
214,5962.684,78.298,126.316,6.446,6089.000,78.032
215,4676.842,68.998,63.158,4.558,4740.000,68.848
216,4927.645,70.888,73.355,4.912,5001.000,70.718
217,7253.553,87.031,241.447,8.912,7495.000,86.574
218,3515.303,59.822,47.697,3.961,3563.000,59.691
219,5596.408,75.522,80.592,5.149,5677.000,75.346
220,3816.987,62.307,49.013,4.015,3866.000,62.177
221,5213.092,73.179,106.908,5.930,5320.000,72.938
222,3959.487,63.571,61.513,4.498,4021.000,63.411
223,3792.671,62.125,50.329,4.069,3843.000,61.992
224,5434.276,74.352,70.724,4.823,5505.000,74.196
225,4832.053,70.264,78.947,5.096,4911.000,70.079
226,4710.276,69.552,95.724,5.611,4806.000,69.325
227,5093.579,72.234,93.421,5.544,5187.000,72.021
228,5641.961,75.967,97.039,5.650,5739.000,75.756
229,3520.842,60.040,63.158,4.558,3584.000,59.867
230,6592.592,82.166,119.408,6.267,6712.000,81.927
231,5245.145,73.207,85.855,5.314,5331.000,73.014
232,4992.368,71.383,77.632,5.053,5070.000,71.204
233,7175.711,85.710,128.289,6.496,7304.000,85.463
234,5731.776,76.652,108.224,5.967,5840.000,76.420
235,5741.461,76.943,134.539,6.653,5876.000,76.655
236,4165.882,65.221,66.118,4.664,4232.000,65.054
237,5663.816,76.015,86.184,5.324,5750.000,75.829
238,5334.539,73.856,90.461,5.455,5425.000,73.655
239,4852.184,70.264,63.816,4.582,4916.000,70.114
240,4174.237,65.555,92.763,5.524,4267.000,65.322
241,5620.842,75.969,113.158,6.101,5734.000,75.723
242,5825.500,77.298,112.500,6.083,5938.000,77.058
243,6043.329,78.797,124.671,6.404,6168.000,78.537
244,5067.618,71.850,71.382,4.846,5139.000,71.687
245,6596.224,82.570,166.776,7.407,6763.000,82.237
246,5215.750,72.964,81.250,5.170,5297.000,72.780
247,6469.197,81.781,164.803,7.363,6634.000,81.449
248,3204.947,57.150,46.053,3.892,3251.000,57.018
249,7213.145,85.987,135.855,6.685,7349.000,85.726
250,7489.000,87.683,150.000,7.024,7639.000,87.401
251,5412.829,74.578,112.171,6.074,5525.000,74.330
252,7302.895,86.555,142.105,6.837,7445.000,86.284
253,5259.092,73.493,106.908,5.930,5366.000,73.253
254,3887.842,63.022,63.158,4.558,3951.000,62.857
255,5426.316,74.325,73.684,4.923,5500.000,74.162
256,8165.566,91.405,142.434,6.845,8308.000,91.148
257,7127.066,85.633,154.934,7.139,7282.000,85.335
258,6025.513,78.590,113.487,6.110,6139.000,78.352
259,5172.421,72.898,106.579,5.921,5279.000,72.657
260,5313.724,73.614,79.276,5.107,5393.000,73.437
261,7057.184,85.293,163.816,7.341,7221.000,84.976
262,5672.539,76.110,90.461,5.455,5763.000,75.914
263,5913.355,77.772,101.645,5.782,6015.000,77.556
264,5657.434,75.942,82.566,5.212,5740.000,75.763
265,4520.290,68.182,96.711,5.640,4617.000,67.949
266,5362.171,73.795,62.829,4.546,5425.000,73.655
267,5612.092,75.856,106.908,5.930,5719.000,75.624
268,5557.276,75.616,120.724,6.302,5678.000,75.353
269,5287.566,73.781,117.434,6.215,5405.000,73.519
270,3518.250,59.803,43.750,3.794,3562.000,59.682
271,5282.263,73.540,94.737,5.582,5377.000,73.328
272,4736.934,69.737,95.066,5.592,4832.000,69.513
273,7247.974,86.090,123.026,6.362,7371.000,85.855
274,4162.842,65.167,63.158,4.558,4226.000,65.008
275,4099.500,64.929,87.500,5.365,4187.000,64.707
276,4210.553,65.566,66.447,4.675,4277.000,65.399
277,4136.145,64.939,60.855,4.474,4197.000,64.784
278,3746.237,62.205,92.763,5.524,3839.000,61.960
279,4020.224,64.101,66.776,4.687,4087.000,63.930
280,7140.250,85.429,118.750,6.250,7259.000,85.200
281,4325.605,66.477,70.395,4.812,4396.000,66.302
282,5524.500,75.105,87.500,5.365,5612.000,74.913
283,5399.724,74.196,79.276,5.107,5479.000,74.020
284,3947.776,63.444,58.224,4.376,4006.000,63.293
285,5186.895,73.093,117.105,6.207,5304.000,72.829
286,5428.171,74.909,137.829,6.733,5566.000,74.606
287,5417.184,74.399,88.816,5.405,5506.000,74.202
288,5932.474,77.970,110.526,6.030,6043.000,77.737
289,7103.303,85.243,122.697,6.353,7226.000,85.006
290,5999.539,78.229,90.461,5.455,6090.000,78.038
291,5008.368,71.495,77.632,5.053,5086.000,71.316
292,5387.132,74.161,84.868,5.284,5472.000,73.973
293,6290.592,80.100,94.408,5.573,6385.000,79.906
294,4881.803,70.675,85.197,5.294,4967.000,70.477
295,5682.184,76.594,138.816,6.757,5821.000,76.295
296,7789.671,89.569,175.329,7.594,7965.000,89.247
297,4798.053,70.021,78.947,5.096,4877.000,69.836
298,3494.487,60.079,86.513,5.335,3581.000,59.841
299,5373.855,74.110,89.145,5.415,5463.000,73.912
300,6230.382,80.008,128.618,6.505,6359.000,79.743
301,6647.566,82.886,167.434,7.421,6815.000,82.553
302,5735.368,76.844,127.632,6.480,5863.000,76.570
303,7023.566,84.929,142.434,6.845,7166.000,84.652
304,4604.829,68.465,62.171,4.522,4667.000,68.315
305,3494.645,59.934,73.355,4.912,3568.000,59.733
306,5160.566,72.915,117.434,6.215,5278.000,72.650
307,5642.040,76.888,202.961,8.171,5845.000,76.453
308,8134.092,91.701,206.908,8.250,8341.000,91.329
309,4407.211,67.289,90.789,5.465,4498.000,67.067
310,6236.026,80.444,176.974,7.630,6413.000,80.081
311,7120.540,85.288,115.461,6.163,7236.000,85.065
312,4222.092,65.557,56.908,4.327,4279.000,65.414
313,4936.526,71.102,89.474,5.425,5026.000,70.894
314,5217.895,73.077,92.105,5.504,5310.000,72.870
315,6701.710,82.698,103.289,5.829,6805.000,82.492
316,7335.434,86.670,132.566,6.604,7468.000,86.418
317,6631.013,82.654,150.987,7.047,6782.000,82.353
318,6934.592,84.615,169.408,7.465,7104.000,84.285
319,7103.697,85.476,152.303,7.078,7256.000,85.182
320,4046.526,64.282,64.474,4.605,4111.000,64.117
321,5166.132,72.656,84.868,5.284,5251.000,72.464
322,7208.079,85.919,130.921,6.562,7339.000,85.668
323,4817.066,70.638,129.934,6.538,4947.000,70.335
324,5935.250,78.058,118.750,6.250,6054.000,77.807
325,5873.605,77.462,95.395,5.602,5969.000,77.259
326,4818.789,70.219,84.211,5.263,4903.000,70.021
327,6409.013,80.890,100.987,5.764,6510.000,80.685
328,5095.539,72.450,115.461,6.163,5211.000,72.187
329,4835.724,70.293,79.276,5.107,4915.000,70.107
330,5268.684,73.507,101.316,5.773,5370.000,73.280
331,5396.026,74.374,101.974,5.792,5498.000,74.148
332,5509.039,74.918,77.961,5.064,5587.000,74.746
333,4222.408,65.799,80.592,5.149,4303.000,65.597
334,5413.553,74.621,116.447,6.189,5530.000,74.364
335,4281.342,65.944,50.658,4.082,4332.000,65.818
336,4412.092,67.238,81.908,5.191,4494.000,67.037
337,7404.237,87.143,142.763,6.853,7547.000,86.873
338,5378.526,74.368,114.474,6.136,5493.000,74.115
339,6435.395,81.287,129.605,6.529,6565.000,81.025
340,5671.447,76.261,108.553,5.976,5780.000,76.026
341,4884.513,70.960,113.487,6.110,4998.000,70.697
342,5142.171,72.747,112.829,6.092,5255.000,72.491
343,3067.763,56.070,57.237,4.339,3125.000,55.902
344,7491.053,87.535,128.947,6.513,7620.000,87.293
345,5775.395,76.905,104.605,5.866,5880.000,76.681
346,5045.961,71.937,97.039,5.650,5143.000,71.715
347,8320.289,92.458,171.711,7.516,8492.000,92.152
348,4265.171,65.944,62.829,4.546,4328.000,65.788
349,7693.974,89.016,173.026,7.544,7867.000,88.696
350,5727.632,76.531,97.368,5.659,5825.000,76.322
351,5486.210,75.321,140.789,6.805,5627.000,75.013
352,5271.132,73.601,109.868,6.012,5381.000,73.355
353,3441.645,59.211,48.355,3.988,3490.000,59.076
354,6835.987,83.869,149.013,7.001,6985.000,83.576
355,5697.658,76.570,124.342,6.395,5822.000,76.302
356,5366.882,74.081,91.118,5.475,5458.000,73.878
357,3934.724,63.300,54.276,4.225,3989.000,63.159
358,5954.868,78.153,115.132,6.154,6070.000,77.910
359,5594.342,75.903,125.658,6.429,5720.000,75.631
360,4281.039,65.965,52.961,4.174,4334.000,65.833
361,7835.289,89.982,196.711,8.044,8032.000,89.621
362,4842.079,70.354,80.921,5.159,4923.000,70.164
363,4200.921,65.772,94.079,5.563,4295.000,65.536
364,4761.987,69.954,99.013,5.707,4861.000,69.721
365,5394.513,74.467,113.487,6.110,5508.000,74.216
366,8333.000,92.550,175.000,7.587,8508.000,92.239
367,5652.513,76.180,113.487,6.110,5766.000,75.934
368,5729.132,76.649,109.868,6.012,5839.000,76.413
369,3989.934,63.638,45.066,3.850,4035.000,63.522
370,6238.763,79.883,107.237,5.939,6346.000,79.662
371,5136.789,72.448,84.211,5.263,5221.000,72.256
372,4822.118,70.240,83.882,5.253,4906.000,70.043
373,5671.645,76.173,98.355,5.688,5770.000,75.961
374,3794.408,62.196,55.592,4.276,3850.000,62.048
375,6249.158,79.778,86.842,5.345,6336.000,79.599
376,6000.908,78.260,93.092,5.534,6094.000,78.064
377,8235.000,91.839,150.000,7.024,8385.000,91.570
378,5388.579,74.248,93.421,5.544,5482.000,74.041
379,6568.645,82.052,123.355,6.370,6692.000,81.805
380,5764.553,76.937,116.447,6.189,5881.000,76.688
381,5044.368,71.746,77.632,5.053,5122.000,71.568
382,4473.697,67.649,77.303,5.043,4551.000,67.461
383,5345.368,74.263,127.632,6.480,5473.000,73.980
384,4888.632,70.603,72.368,4.879,4961.000,70.434
385,5287.013,73.629,100.987,5.764,5388.000,73.403
386,6190.750,79.990,156.250,7.169,6347.000,79.668
387,4916.368,71.083,102.632,5.810,5019.000,70.845
388,4982.171,71.407,87.829,5.375,5070.000,71.204
389,5745.132,76.537,84.868,5.284,5830.000,76.354
390,7781.381,89.733,203.618,8.184,7985.000,89.359
391,3777.013,62.006,50.987,4.095,3828.000,61.871
392,7016.066,85.372,204.934,8.211,7221.000,84.976
393,7257.487,86.441,161.513,7.289,7419.000,86.134
394,8226.790,92.222,209.211,8.296,8436.000,91.848
395,7301.145,86.497,135.855,6.685,7437.000,86.238
396,4827.066,70.474,104.934,5.875,4932.000,70.228
397,6007.974,78.559,123.026,6.362,6131.000,78.301
398,4921.053,70.894,78.947,5.096,5000.000,70.711
399,4973.382,71.492,103.618,5.838,5077.000,71.253
400,4792.368,70.677,152.632,7.086,4945.000,70.321
401,6267.605,79.965,95.395,5.602,6363.000,79.768
402,5354.355,73.866,76.645,5.021,5431.000,73.695
403,5841.105,77.359,107.895,5.957,5949.000,77.130
404,4203.855,65.491,64.145,4.593,4268.000,65.330
405,5279.224,73.493,91.776,5.495,5371.000,73.287
406,5340.132,73.844,84.868,5.284,5425.000,73.655
407,3975.803,63.685,60.197,4.450,4036.000,63.530
408,5166.263,72.747,94.737,5.582,5261.000,72.533
409,5225.658,73.196,99.342,5.716,5325.000,72.973
410,5465.158,74.925,111.842,6.065,5577.000,74.679
411,5799.789,77.318,134.211,6.644,5934.000,77.032
412,5358.868,74.018,90.132,5.445,5449.000,73.817
413,5774.342,77.295,150.658,7.040,5925.000,76.974
414,5241.066,73.352,104.934,5.875,5346.000,73.116
415,5218.895,73.084,92.105,5.504,5311.000,72.877
416,5788.974,77.582,173.026,7.544,5962.000,77.214
417,4839.882,70.434,91.118,5.475,4931.000,70.221
418,8088.158,91.122,161.842,7.296,8250.000,90.830
419,5050.566,71.695,67.434,4.710,5118.000,71.540
420,5215.145,73.002,85.855,5.314,5301.000,72.808
421,3861.684,62.953,76.316,5.010,3938.000,62.753
422,5448.000,74.483,75.000,4.967,5523.000,74.317
423,5219.618,73.128,96.382,5.631,5316.000,72.911
424,4520.421,68.279,106.579,5.921,4627.000,68.022
425,4713.040,69.641,102.961,5.820,4816.000,69.397
426,3931.987,63.485,74.013,4.934,4006.000,63.293
427,5353.842,73.966,88.158,5.385,5442.000,73.770
428,6827.421,83.680,131.579,6.579,6959.000,83.421
429,8373.395,93.159,229.605,8.691,8603.000,92.752
430,5133.908,72.509,93.092,5.534,5227.000,72.298
431,6251.316,80.305,148.684,6.994,6400.000,80.000
432,7858.987,89.946,174.013,7.566,8033.000,89.627
433,5660.658,76.110,99.342,5.716,5760.000,75.895
434,4705.816,69.189,61.184,4.486,4767.000,69.043
435,5967.592,78.058,94.408,5.573,6062.000,77.859
436,5689.776,76.160,83.224,5.232,5773.000,75.980
437,6089.737,79.138,130.263,6.546,6220.000,78.867
438,5665.461,76.230,109.539,6.003,5775.000,75.993
439,7028.013,85.217,175.987,7.609,7204.000,84.876
440,6044.000,79.015,150.000,7.024,6194.000,78.702
441,5018.447,71.620,83.553,5.243,5102.000,71.428
442,7023.342,84.796,125.658,6.429,7149.000,84.552
443,7261.066,86.219,129.934,6.538,7391.000,85.971
444,4979.947,71.700,121.053,6.310,5101.000,71.421
445,7748.303,88.946,122.697,6.353,7871.000,88.719
446,5767.803,77.120,135.197,6.669,5903.000,76.831
447,5763.184,76.905,113.816,6.119,5877.000,76.662
448,5759.026,76.559,76.974,5.032,5836.000,76.394
449,5614.197,75.720,89.803,5.435,5704.000,75.525
450,5106.961,72.360,97.039,5.650,5204.000,72.139
451,5688.895,76.449,117.105,6.207,5806.000,76.197
452,4867.526,70.615,89.474,5.425,4957.000,70.406
453,3317.921,58.108,44.079,3.808,3362.000,57.983
454,8261.447,92.044,158.553,7.222,8420.000,91.761
455,5054.066,71.835,79.934,5.128,5134.000,71.652
456,5283.526,73.501,89.474,5.425,5373.000,73.301
457,5421.408,74.354,80.592,5.149,5502.000,74.175
458,4484.632,67.682,72.368,4.879,4557.000,67.506
459,5230.303,73.213,97.697,5.669,5328.000,72.993
460,4783.224,69.799,66.776,4.687,4850.000,69.642
461,4334.118,66.426,58.882,4.401,4393.000,66.280
462,3771.974,62.201,73.026,4.901,3845.000,62.008
463,6505.960,81.659,122.039,6.336,6628.000,81.413
464,4869.316,70.714,98.684,5.698,4968.000,70.484
465,6414.421,80.969,106.579,5.921,6521.000,80.753
466,5551.513,75.293,88.487,5.395,5640.000,75.100
467,4771.908,69.969,93.092,5.534,4865.000,69.750
468,5206.171,72.958,87.829,5.375,5294.000,72.760
469,6315.263,80.464,119.737,6.276,6435.000,80.218
470,6642.908,82.662,143.092,6.861,6786.000,82.377
471,5335.368,73.971,102.632,5.810,5438.000,73.743
472,6482.592,81.494,119.408,6.267,6602.000,81.253
473,4266.276,66.283,95.724,5.611,4362.000,66.045
474,3671.368,61.166,52.632,4.161,3724.000,61.025
475,5656.684,76.101,101.316,5.773,5758.000,75.881
476,6365.013,80.618,100.987,5.764,6466.000,80.411
477,3435.947,59.137,46.053,3.892,3482.000,59.008
478,4395.474,67.150,85.526,5.304,4481.000,66.940
479,5980.684,78.201,101.316,5.773,6082.000,77.987
480,5768.803,77.126,135.197,6.669,5904.000,76.837
481,4709.724,69.391,79.276,5.107,4789.000,69.203
482,4043.487,64.228,61.513,4.498,4105.000,64.070
483,4390.474,66.865,60.526,4.462,4451.000,66.716
484,4168.079,65.388,80.921,5.159,4249.000,65.184
485,5644.987,75.785,74.013,4.934,5719.000,75.624
