# CaFe Be9 MF Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# real_yield -> randoms-subtracted, integrated missing-momentum counts
# rand_yield -> randoms (accidentals selected) yield integrated missing-momentum counts
# total_yield -> total (reals+randoms) integrated missing-momentum counts
entry,real_yield,real_yield_err,rand_yield,rand_yield_err,total_yield_total_yield_err
282,158573.749,398.307,56.250,4.302,158630.000,398.284
283,157180.419,396.555,56.579,4.314,157237.000,396.531
284,129187.328,359.518,49.671,4.042,129237.000,359.495
285,150624.081,388.199,55.921,4.289,150680.000,388.175
286,121609.267,348.810,44.737,3.836,121654.000,348.789
287,122427.926,349.981,44.079,3.808,122472.000,349.960
288,147763.396,384.494,54.605,4.238,147818.000,384.471
289,168360.553,410.425,66.447,4.675,168427.000,410.399
290,144194.699,379.821,52.303,4.148,144247.000,379.799
291,164099.158,405.193,61.842,4.510,164161.000,405.168
292,122608.936,350.241,45.066,3.850,122654.000,350.220
293,158673.777,398.436,58.224,4.376,158732.000,398.412
294,150788.412,388.410,55.592,4.276,150844.000,388.386
295,163972.160,405.036,61.842,4.510,164034.000,405.011
296,184279.632,429.390,72.368,4.879,184352.000,429.362
297,175868.618,419.480,71.382,4.846,175940.000,419.452
298,154432.105,393.076,57.895,4.364,154490.000,393.052
299,156561.093,395.774,56.908,4.327,156618.000,395.750
300,170362.540,412.855,65.461,4.640,170428.000,412.829
301,156312.735,395.457,55.263,4.264,156368.000,395.434
302,150482.435,388.019,57.566,4.352,150540.000,387.995
303,148420.738,385.349,55.263,4.264,148476.000,385.326
304,132263.328,363.771,49.671,4.042,132313.000,363.749
305,127389.972,357.007,48.026,3.975,127438.000,356.985
306,126981.975,356.435,48.026,3.975,127030.000,356.413
307,172412.552,415.332,66.447,4.675,172479.000,415.306
308,166105.185,407.664,63.816,4.582,166169.000,407.638
309,137335.671,370.679,50.329,4.069,137386.000,370.656
310,146951.052,383.435,53.947,4.213,147005.000,383.412
311,127894.963,357.711,47.039,3.934,127942.000,357.690
312,143533.012,378.947,50.987,4.095,143584.000,378.925
313,129679.318,360.200,48.684,4.002,129728.000,360.178
314,157485.787,396.944,59.211,4.413,157545.000,396.919
315,148102.369,384.932,52.632,4.161,148155.000,384.909
316,152686.751,390.847,56.250,4.302,152743.000,390.823
317,152965.735,391.202,55.263,4.264,153021.000,391.179
318,149183.082,386.338,55.921,4.289,149239.000,386.315
319,164756.496,406.004,62.500,4.534,164819.000,405.979
320,165090.502,406.416,62.500,4.534,165153.000,406.390
321,159378.449,399.320,58.553,4.389,159437.000,399.296
322,140959.686,375.537,51.316,4.109,141011.000,375.514
323,129257.303,359.612,47.697,3.961,129305.000,359.590
324,157538.054,397.001,53.947,4.213,157592.000,396.979
325,121646.938,348.865,45.066,3.850,121692.000,348.844
326,167276.185,409.098,63.816,4.582,167340.000,409.072
327,151593.411,389.445,55.592,4.276,151649.000,389.421
328,131035.317,362.077,48.684,4.002,131084.000,362.055
329,131588.004,362.842,50.000,4.056,131638.000,362.820
330,137847.698,371.372,52.303,4.148,137900.000,371.349
331,156130.775,395.232,58.224,4.376,156189.000,395.208
332,148068.724,384.891,54.276,4.225,148123.000,384.868
333,173554.583,416.708,68.421,4.744,173623.000,416.681
334,130816.973,361.775,48.026,3.975,130865.000,361.753
335,139121.655,373.078,49.342,4.029,139171.000,373.056
336,128229.949,358.178,46.053,3.892,128276.000,358.156
337,158225.778,397.873,58.224,4.376,158284.000,397.849
338,121182.251,348.196,43.750,3.794,121226.000,348.175
339,131846.316,363.196,48.684,4.002,131895.000,363.174
340,133581.999,365.580,50.000,4.056,133632.000,365.557
341,139239.644,373.234,48.355,3.988,139288.000,373.213
342,128967.303,359.208,47.697,3.961,129015.000,359.187
343,95067.130,308.405,34.868,3.387,95102.000,308.386
344,192809.383,439.220,78.618,5.085,192888.000,439.190
345,132031.681,363.455,51.316,4.109,132083.000,363.432
346,132075.962,363.509,47.039,3.934,132123.000,363.487
347,137581.698,371.014,52.303,4.148,137634.000,370.991
